GroupNo,X,Y
1,156,210
1,602,54
1,621,440
2,470,278
2,297,69
2,244,89
2,330,97
2,286,106
2,197,111
2,220,130
2,238,129
2,269,137
2,323,150
2,236,167
2,272,161
2,260,173
2,191,172
2,217,178
2,250,209
2,208,211
2,173,216
2,203,242
2,169,236
2,221,246
2,244,252
2,157,252
2,180,251
2,234,279
2,166,281
2,213,281
2,190,284
2,153,302
2,195,317
2,223,320
2,160,325
2,193,360
2,137,359
2,165,356
2,170,400
2,152,394
2,238,402
2,175,429
3,353,69
3,320,65
3,305,73
3,411,79
3,427,81
3,368,85
3,389,93
3,331,108
3,402,106
3,437,99
3,292,127
3,376,111
3,417,122
3,375,145
3,400,144
3,431,152
3,318,151
3,345,150
3,310,181
3,364,182
3,290,183
3,329,185
3,397,186
3,277,218
3,308,215
3,355,220
3,334,220
3,380,221
3,313,246
3,381,250
3,274,253
3,335,253
3,293,259
3,353,258
3,461,260
3,301,282
3,334,279
3,355,285
3,263,285
3,329,317
3,264,319
3,241,317
3,287,319
3,312,324
3,321,342
3,272,360
3,236,357
3,331,358
3,301,361
3,203,367
3,219,369
3,317,381
3,298,392
3,236,397
3,203,406
3,262,423
3,179,431
3,244,430
3,228,434
3,204,436
4,474,94
4,517,98
4,438,102
4,501,94
4,456,102
4,537,108
4,498,105
4,500,126
4,421,124
4,465,125
4,444,132
4,535,133
4,464,151
4,517,162
4,444,159
4,423,160
4,489,167
4,551,183
4,399,187
4,419,189
4,476,194
4,437,191
4,521,193
4,529,200
4,499,195
4,410,219
4,436,220
4,462,227
4,482,230
4,534,234
4,505,234
4,412,251
4,556,268
4,383,251
4,495,261
4,440,265
4,464,264
4,522,271
4,403,287
4,382,287
4,425,289
4,478,292
4,454,296
4,510,318
4,551,312
4,377,326
4,402,323
4,355,325
4,488,333
4,451,327
4,424,331
4,399,352
4,339,361
4,368,356
4,422,363
4,445,361
4,479,361
4,537,366
4,509,375
4,385,372
4,357,401
4,476,404
4,332,403
4,422,402
4,531,403
4,454,404
4,393,402
4,498,409
4,388,427
4,316,431
4,296,434
4,341,438
4,362,434
4,456,441
4,428,440
4,485,439
4,272,434
4,411,445
4,509,449
4,380,450
4,314,454
