No,Group,Stage X,Stage Y,Stage Z
1,4,38503,29334,10105
2,4,38546,29259,10104
3,4,38514,29716,10113
4,4,38551,29681,10113
5,4,38653,29035,10101
6,4,38684,29314,10107
7,4,38537,29947,10118
8,4,38535,30220,10124
9,4,38703,29442,10110
10,4,38575,30014,10120
11,4,38756,29047,10103
12,4,38619,30170,10124
13,4,38547,30406,10128
14,4,38544,30505,10130
15,4,38536,30571,10131
16,4,38521,30693,10133
17,4,38602,30370,10128
18,4,38743,29640,10115
19,4,38821,29117,10106
20,4,38631,30414,10129
21,4,38824,29294,10109
22,4,38558,30769,10135
23,4,38571,30843,10137
24,4,38572,30648,10133
25,4,38909,29017,10105
26,4,38857,29366,10111
27,4,38634,30564,10132
28,4,38623,30714,10135
29,4,38884,29233,10109
30,4,38900,29153,10107
31,4,38780,30151,10126
32,4,38706,30505,10132
33,4,38845,29767,10119
34,4,38672,30777,10137
35,4,38764,30230,10127
36,4,39010,29002,10106
37,4,38997,29055,10107
38,4,38898,29567,10116
39,4,38858,29889,10122
40,4,38714,30862,10140
41,4,38992,29229,10110
42,4,39021,29139,10109
43,4,38795,30433,10132
44,4,38732,30723,10137
45,4,38782,30519,10134
46,4,38883,30026,10125
47,4,38988,29348,10113
48,4,38975,29507,10116
49,4,38964,29590,10117
50,4,38970,29659,10119
51,4,38852,30351,10131
52,4,38797,30803,10140
53,4,38804,30737,10138
54,4,38881,30237,10129
55,4,38893,30147,10128
56,4,38960,29944,10125
57,4,38961,29849,10123
58,4,39052,29319,10113
59,4,39157,29020,10109
60,4,39127,29080,10109
61,4,38873,30556,10136
62,4,38886,30421,10133
63,4,39080,29377,10115
64,4,38932,30659,10139
65,4,39051,29694,10121
66,4,38965,30285,10132
67,4,38865,30874,10142
68,4,38942,30443,10135
69,4,39026,29979,10126
70,4,38962,30360,10133
71,4,39039,29914,10125
72,4,39160,29255,10114
73,4,39178,29351,10116
74,4,39051,30041,10128
75,4,38949,30730,10141
76,4,39032,30132,10130
77,4,38984,30596,10138
78,4,38986,30526,10137
79,4,39042,30225,10132
80,4,39142,29886,10126
81,4,39023,30397,10135
82,4,39056,30334,10134
83,4,39060,30500,10138
84,4,39309,28956,10110
85,4,39075,30430,10136
86,4,39010,30874,10144
87,4,39359,29281,10117
88,4,39276,29570,10122
89,4,39077,30565,10139
90,4,39071,30668,10141
91,4,39133,30337,10135
92,4,39268,29753,10126
93,4,39188,30037,10130
94,4,39396,29007,10112
95,4,39147,30816,10145
96,4,39105,30733,10143
97,4,39143,30483,10139
98,4,39211,30115,10132
99,4,39170,30243,10134
100,4,39424,29180,10116
101,4,39202,30275,10135
102,4,39280,30003,10131
103,4,39168,30675,10143
104,4,39209,30418,10138
105,4,39190,30590,10141
106,4,39210,30554,10141
107,4,39243,30240,10135
108,4,39464,29062,10114
109,4,39309,30099,10133
110,4,39262,30321,10137
111,4,39243,30476,10140
112,4,39296,30513,10142
113,4,39351,29964,10131
114,4,39342,29862,10129
115,4,39352,29888,10130
116,4,39303,30219,10136
117,4,39376,30235,10137
118,4,39221,30647,10143
119,4,39424,29675,10126
120,4,39228,30794,10146
121,4,39398,29812,10129
122,4,39292,30411,10139
123,4,39466,29617,10126
124,4,39544,29149,10117
125,4,39524,29321,10121
126,4,39577,29258,10120
127,4,39294,30605,10143
128,4,39352,30378,10140
129,4,39575,29045,10116
130,4,39350,30467,10141
131,4,39390,30521,10143
132,4,39432,29963,10132
133,4,39472,29938,10132
134,4,39481,29855,10131
135,4,39358,30625,10145
136,4,39449,30200,10138
137,4,39572,29468,10124
138,4,39363,30716,10147
139,4,39465,30403,10142
140,4,39366,30835,10149
141,4,39516,30025,10135
142,4,39599,30050,10137
143,4,39664,29357,10124
144,4,39666,29193,10120
145,4,39465,30516,10144
146,4,39542,30126,10137
147,4,39603,29852,10133
148,4,39453,30741,10149
149,4,39452,30664,10147
150,4,39507,30799,10151
151,4,39631,29699,10130
152,4,39563,30356,10142
153,4,39542,30537,10146
154,4,39558,30440,10144
155,4,39580,30608,10148
156,4,39588,30687,10150
157,4,39664,30191,10141
