No,Name,X,Y,Z
1,Zircon-001,2655.409967078795,6476.820208283756,2013.501063101559
2,Zircon-002,2991.485264774999,6014.662062046417,2013.0894269161406
3,Zircon-003,2967.669986815303,5692.334433970677,2013.5498770266358
4,Zircon-004,3129.3758164619558,5336.854286993769,2013.5134889739159
5,Zircon-005,3800.530796591751,4703.527502308987,2012.3396605242194
6,Zircon-006,4289.944666230455,4541.544904918406,2011.119495114083
7,Zircon-007,4103.855910990033,5728.1086149608045,2010.2170329615803
8,Zircon-008,4858.994795542496,5483.200512339829,2008.3282843273853
9,Zircon-009,5334.837827470638,4967.249766818444,2007.5773410269048
10,Zircon-010,5742.321807141562,4248.55264672421,2007.270562845503
